# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts.txt" "-T" "8" "bam/SRR20281608.sorted.bam" "bam/SRR20281609.sorted.bam" "bam/SRR20281610.sorted.bam" "bam/SRR20281611.sorted.bam" "bam/SRR20280855.sorted.bam" "bam/SRR20280860.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281608.sorted.bam	bam/SRR20281609.sorted.bam	bam/SRR20281610.sorted.bam	bam/SRR20281611.sorted.bam	bam/SRR20280855.sorted.bam	bam/SRR20280860.sorted.bam
MA_RS11030	NC_003552.1	2631809	2632033	+	225	352	226	103	89	451	291
MA_RS11035	NC_003552.1	2632107	2633009	+	903	1802	1135	673	580	643	660
MA_RS11040	NC_003552.1	2633798	2634019	-	222	307	277	235	183	215	179
MA_RS26880	NC_003552.1	2634127	2634315	+	189	103	102	96	57	80	49
MA_RS11045	NC_003552.1	2634392	2634649	+	258	156	103	122	98	64	54
MA_RS29380	NC_003552.1	2635137	2635259	+	123	300	329	309	396	426	443
MA_RS11060	NC_003552.1	2635561	2635884	-	324	2049	1485	1063	763	1157	1192
MA_RS11065	NC_003552.1	2636168	2636461	-	294	1087	1021	842	719	1787	957
MA_RS11070	NC_003552.1	2636516	2636821	-	306	1375	1098	1004	904	2010	1143
MA_RS11075	NC_003552.1	2636991	2637173	+	183	151	130	162	111	340	172
MA_RS11080	NC_003552.1	2637380	2637700	+	321	2912	2304	2698	2177	2076	1960
MA_RS29385	NC_003552.1	2637697	2637825	+	129	138	166	143	117	341	339
MA_RS11085	NC_003552.1	2637892	2638824	-	933	5007	4460	3316	2987	4091	4030
MA_RS11090	NC_003552.1	2639274	2639504	+	231	1377	1137	1091	749	914	957
MA_RS11095	NC_003552.1	2639527	2639721	+	195	604	519	585	411	380	362
MA_RS11100	NC_003552.1	2639725	2639967	+	243	789	763	585	383	1299	1123
MA_RS11105	NC_003552.1	2640185	2640925	-	741	911	646	464	443	624	474
MA_RS11110	NC_003552.1	2641833	2643239	-	1407	3035	2993	1875	1770	2397	2646
MA_RS11115	NC_003552.1	2644134	2646170	+	2037	680	869	442	365	697	545
MA_RS11120	NC_003552.1	2646157	2647995	+	1839	931	1090	713	539	1054	896
MA_RS11125	NC_003552.1	2648251	2649435	-	1185	14373	12235	13429	11985	5910	10251
MA_RS11130	NC_003552.1	2649918	2653130	-	3213	49734	42116	37222	36548	23002	31826
MA_RS11135	NC_003552.1	2653130	2654236	-	1107	16116	11729	8034	8821	7454	9832
MA_RS11140	NC_003552.1	2654921	2656396	+	1476	20187	18167	15426	14716	5611	10232
MA_RS11145	NC_003552.1	2656390	2657220	+	831	10057	9155	8000	8021	2719	5521
MA_RS11150	NC_003552.1	2657425	2658372	+	948	16486	16136	15372	17679	4305	9963
MA_RS11155	NC_003552.1	2658984	2660045	+	1062	15121	11963	8791	7992	16669	18380
MA_RS11160	NC_003552.1	2660075	2661118	+	1044	10126	12167	10947	11163	13451	20312
MA_RS11165	NC_003552.1	2661115	2661912	+	798	7084	5816	3614	3362	4632	6607
MA_RS11170	NC_003552.1	2661915	2662694	+	780	3098	2279	1376	1269	1869	2136
MA_RS11175	NC_003552.1	2662711	2663463	+	753	2827	1898	1137	1535	1534	2285
MA_RS11180	NC_003552.1	2663662	2664798	+	1137	25089	19097	14884	10863	17099	25082
MA_RS11185	NC_003552.1	2664798	2665040	+	243	2288	1740	1555	1117	1754	2222
MA_RS24565	NC_003552.1	2665118	2665888	+	771	5066	3697	2928	2092	2597	3283
MA_RS11195	NC_003552.1	2666416	2667507	+	1092	20440	15835	13686	9727	13461	16663
MA_RS26885	NC_003552.1	2667683	2667907	-	225	1709	1644	1388	1318	2783	2813
MA_RS11205	NC_003552.1	2668473	2668643	+	171	117	90	112	68	52	69
MA_RS11210	NC_003552.1	2668880	2669128	+	249	1097	1145	945	858	2922	2248
MA_RS25480	NC_003552.1	2669326	2670008	-	683	1845	1746	1524	1028	1434	1493
MA_RS11230	NC_003552.1	2670258	2670452	-	195	41	25	41	18	21	25
MA_RS11235	NC_003552.1	2670598	2671632	+	1035	1676	1688	1824	1490	2893	3028
MA_RS11240	NC_003552.1	2672166	2672909	-	744	769	773	181	194	530	643
MA_RS26890	NC_003552.1	2673271	2673414	-	144	224	215	235	182	182	184
MA_RS26895	NC_003552.1	2673591	2673767	-	177	152	133	160	142	115	139
MA_RS25490	NC_003552.1	2674040	2674228	+	189	289	243	207	127	143	156
MA_RS11245	NC_003552.1	2674385	2674984	-	600	2568	1887	1440	1150	1261	1181
MA_RS11255	NC_003552.1	2675838	2676806	+	969	4544	3344	3533	3031	2097	2403
MA_RS11260	NC_003552.1	2676934	2677986	+	1053	319	350	178	142	94	166
MA_RS11265	NC_003552.1	2678066	2678506	+	441	119	146	82	56	93	81
MA_RS11270	NC_003552.1	2678446	2678970	+	525	51	37	17	32	41	39
MA_RS11275	NC_003552.1	2678967	2680130	+	1164	343	355	120	108	191	181
MA_RS29795	NC_003552.1	2680159	2680713	+	555	186	184	141	84	180	198
MA_RS11285	NC_003552.1	2680792	2682021	+	1230	590	511	338	257	510	497
MA_RS11290	NC_003552.1	2682018	2682689	+	672	169	135	218	172	153	167
MA_RS11295	NC_003552.1	2682900	2683556	+	657	240	292	106	72	144	219
MA_RS11300	NC_003552.1	2683653	2684837	+	1185	1283	1173	854	658	812	829
MA_RS11305	NC_003552.1	2685164	2686840	+	1677	8018	7165	4633	4106	3605	3161
MA_RS11310	NC_003552.1	2687120	2688571	+	1452	3170	2794	2181	1732	1055	1345
MA_RS11315	NC_003552.1	2688548	2689510	-	963	904	834	609	477	541	546
MA_RS11320	NC_003552.1	2689650	2690681	-	1032	184	235	76	92	270	233
MA_RS11325	NC_003552.1	2690961	2691686	-	726	2442	2114	1509	1400	1041	1496
MA_RS11330	NC_003552.1	2691754	2692488	-	735	3515	3430	2494	2003	1225	1740
MA_RS11335	NC_003552.1	2692661	2693722	-	1062	265	252	169	146	171	183
MA_RS11340	NC_003552.1	2693840	2694796	-	957	5809	5711	4460	3724	1486	2221
MA_RS28590	NC_003552.1	2694936	2695109	-	174	495	463	263	196	189	126
MA_RS11350	NC_003552.1	2695963	2697624	+	1662	1295	1277	972	930	1075	1233
MA_RS11360	NC_003552.1	2698556	2698825	+	270	1221	997	875	755	484	620
MA_RS11365	NC_003552.1	2698983	2699579	-	597	3217	2771	2300	1857	1610	1887
MA_RS11375	NC_003552.1	2700208	2701050	+	843	1821	1692	1518	1121	1710	1414
MA_RS11380	NC_003552.1	2701395	2702213	+	819	1129	976	1220	960	629	697
MA_RS24570	NC_003552.1	2702383	2702751	+	369	1120	953	1502	1138	578	816
MA_RS11390	NC_003552.1	2703324	2703782	-	459	555	635	566	416	388	332
MA_RS11395	NC_003552.1	2704355	2705059	+	705	363	290	265	240	199	232
MA_RS11400	NC_003552.1	2705601	2707067	-	1467	6162	6046	5740	5004	3296	5711
MA_RS11405	NC_003552.1	2707283	2708830	-	1548	14129	13045	12254	9853	6920	9002
MA_RS11410	NC_003552.1	2709172	2709945	-	774	125	82	71	50	105	76
MA_RS11415	NC_003552.1	2709942	2711186	-	1245	596	641	687	375	3393	2925
MA_RS11420	NC_003552.1	2711453	2712964	-	1512	1340	1308	864	868	892	846
MA_RS11425	NC_003552.1	2713074	2713772	-	699	1066	1009	717	635	641	711
MA_RS11430	NC_003552.1	2713774	2714475	-	702	1534	1457	1204	1112	1001	1034
MA_RS11435	NC_003552.1	2714940	2715425	+	486	475	356	257	212	258	230
MA_RS11440	NC_003552.1	2715542	2715901	+	360	255	225	190	147	164	157
MA_RS11445	NC_003552.1	2716221	2718569	+	2349	907	737	729	467	593	591
MA_RS11450	NC_003552.1	2718792	2720270	+	1479	2186	1755	1855	1299	737	1103
MA_RS11455	NC_003552.1	2720421	2721071	+	651	1989	1462	1087	985	1104	1170
MA_RS11460	NC_003552.1	2721755	2722243	+	489	5293	5101	4197	10688	6574	7519
MA_RS11465	NC_003552.1	2722379	2722738	+	360	1469	1527	1431	3850	3262	4016
MA_RS11475	NC_003552.1	2724165	2724350	+	186	1333	1392	736	516	689	983
MA_RS11480	NC_003552.1	2724350	2724577	+	228	1154	769	194	167	391	440
MA_RS28595	NC_003552.1	2724652	2724795	-	144	1663	1054	674	437	535	624
MA_RS11490	NC_003552.1	2725199	2726260	+	1062	5136	4284	4397	3503	5081	5595
MA_RS11500	NC_003552.1	2726534	2727298	+	765	13826	12093	10236	7011	10725	11298
MA_RS11505	NC_003552.1	2727407	2728852	+	1446	1466	1292	1032	744	656	1013
MA_RS11510	NC_003552.1	2729208	2729570	+	363	663	562	780	429	1961	1517
MA_RS11515	NC_003552.1	2729768	2730613	+	846	2072	1075	648	406	968	699
MA_RS11520	NC_003552.1	2731074	2731925	-	852	5370	3438	2727	2264	3538	3565
MA_RS11525	NC_003552.1	2732203	2732442	-	240	462	394	543	411	380	435
MA_RS26905	NC_003552.1	2732454	2732681	-	228	86	51	43	28	60	27
MA_RS11530	NC_003552.1	2733903	2734793	-	891	91	178	91	69	183	110
MA_RS11535	NC_003552.1	2734866	2736029	+	1164	1773	1735	1528	1524	1449	1601
MA_RS11540	NC_003552.1	2736512	2736826	+	315	1011	860	565	456	526	507
MA_RS26910	NC_003552.1	2736860	2737294	+	435	1547	1571	1910	2266	1519	1959
MA_RS11550	NC_003552.1	2737873	2738901	-	1029	184	318	139	129	179	154
MA_RS26915	NC_003552.1	2739421	2739606	-	186	178	201	415	255	363	384
MA_RS11565	NC_003552.1	2739683	2740627	-	945	2315	1532	1778	1291	756	1234
MA_RS11570	NC_003552.1	2741325	2742788	-	1464	1466	1600	686	824	515	606
MA_RS11575	NC_003552.1	2743489	2744352	+	864	2193	1711	1484	1466	974	817
MA_RS11580	NC_003552.1	2745365	2745676	+	312	1089	725	667	471	549	512
MA_RS26920	NC_003552.1	2746396	2746554	-	159	14	65	11	6	44	87
MA_RS11585	NC_003552.1	2746659	2748899	-	2241	1177	1123	762	660	627	670
MA_RS11590	NC_003552.1	2748903	2749082	-	180	3	2	1	1	3	3
MA_RS26925	NC_003552.1	2749079	2749240	-	162	4	5	11	6	25	11
MA_RS26930	NC_003552.1	2749240	2749650	-	411	98	94	72	46	80	98
MA_RS26935	NC_003552.1	2749704	2749844	-	141	16	9	4	3	23	25
MA_RS11600	NC_003552.1	2750192	2750491	-	300	196	230	193	191	156	167
MA_RS11605	NC_003552.1	2750757	2751605	-	849	7034	5467	6456	5377	3722	5147
MA_RS11610	NC_003552.1	2751866	2753893	-	2028	824	794	410	354	350	272
MA_RS11615	NC_003552.1	2754223	2754684	-	462	405	355	275	394	168	149
MA_RS11625	NC_003552.1	2755134	2756627	+	1494	394	435	353	339	411	404
MA_RS11630	NC_003552.1	2756929	2758215	-	1287	350	373	295	249	325	332
MA_RS11635	NC_003552.1	2758491	2759432	-	942	1011	685	551	470	394	739
MA_RS11640	NC_003552.1	2759874	2761175	-	1302	14773	11793	10280	10560	4657	6749
MA_RS11645	NC_003552.1	2762059	2762256	+	198	76	64	47	66	46	53
MA_RS11650	NC_003552.1	2762806	2764086	+	1281	1349	1066	666	569	648	925
MA_RS11655	NC_003552.1	2764295	2764756	-	462	766	651	582	373	415	473
MA_RS25495	NC_003552.1	2765025	2765429	+	405	361	367	203	152	362	447
MA_RS11660	NC_003552.1	2765727	2766356	+	630	401	279	335	248	378	313
MA_RS11665	NC_003552.1	2766465	2766947	+	483	642	442	483	341	555	549
MA_RS11670	NC_003552.1	2767026	2768093	-	1068	4336	3424	3540	2818	2807	3619
MA_RS11675	NC_003552.1	2768318	2768590	+	273	676	497	480	414	309	323
MA_RS11680	NC_003552.1	2768993	2770099	+	1107	863	578	507	230	1227	846
MA_RS29390	NC_003552.1	2770723	2771364	-	642	254	180	155	121	107	122
MA_RS29395	NC_003552.1	2771306	2771677	-	372	115	71	45	42	32	57
MA_RS29400	NC_003552.1	2771667	2771873	-	207	80	85	94	111	59	65
MA_RS29405	NC_003552.1	2771914	2772036	-	123	327	208	233	219	142	231
MA_RS11695	NC_003552.1	2772334	2773734	-	1401	8955	6798	5402	3554	4338	4505
MA_RS26950	NC_003552.1	2774651	2774788	+	138	874	487	290	335	2009	1561
MA_RS11705	NC_003552.1	2774795	2775178	+	384	3229	1731	1794	713	6366	5351
MA_RS11710	NC_003552.1	2775217	2777907	+	2691	14143	5943	7319	2309	24352	24766
MA_RS11715	NC_003552.1	2778188	2779354	-	1167	3396	2709	1976	1402	2173	2276
MA_RS11720	NC_003552.1	2779601	2780284	-	684	388	283	154	126	172	134
MA_RS11725	NC_003552.1	2780380	2781429	-	1050	3105	2618	1800	1800	3711	2699
MA_RS11730	NC_003552.1	2781569	2782036	-	468	1323	1084	816	927	1645	1382
MA_RS26245	NC_003552.1	2782480	2782635	-	156	60	44	77	90	72	33
MA_RS26250	NC_003552.1	2782661	2783002	-	342	107	266	40	13	42	28
MA_RS11740	NC_003552.1	2783162	2783512	+	351	336	299	297	217	126	115
MA_RS11745	NC_003552.1	2784163	2785533	-	1371	743	407	473	265	936	621
MA_RS11760	NC_003552.1	2786849	2787457	+	609	3280	3066	3492	2199	3599	3760
MA_RS11765	NC_003552.1	2787656	2789677	-	2022	2208	1882	1418	1012	1878	1740
MA_RS11770	NC_003552.1	2790147	2790359	+	213	58204	65044	52688	58049	101956	86687
MA_RS11775	NC_003552.1	2790601	2791350	-	750	19655	20459	16413	11714	18592	12610
MA_RS11780	NC_003552.1	2791923	2792423	-	501	1425	1234	1392	1175	1566	1284
MA_RS11785	NC_003552.1	2792830	2794011	+	1182	3549	2733	2223	1699	2078	3021
MA_RS11790	NC_003552.1	2794159	2795517	-	1359	7531	5847	3696	3376	4655	6728
MA_RS11795	NC_003552.1	2795544	2796899	-	1356	11496	10556	6773	5956	8094	12032
MA_RS11800	NC_003552.1	2797078	2797791	-	714	9026	7882	5646	4732	6148	7509
MA_RS11805	NC_003552.1	2798145	2798351	-	207	268	226	125	145	117	109
MA_RS11810	NC_003552.1	2798371	2798757	-	387	373	270	189	181	214	204
MA_RS11815	NC_003552.1	2799194	2800102	-	909	276	254	179	121	175	131
MA_RS26955	NC_003552.1	2800503	2800661	+	159	38	19	33	12	23	17
MA_RS11820	NC_003552.1	2800818	2801675	+	858	723	615	570	366	892	746
MA_RS11825	NC_003552.1	2801957	2802781	+	825	2621	2022	1654	1365	786	901
MA_RS11830	NC_003552.1	2802953	2803630	+	678	2253	1594	1466	1138	943	1093
MA_RS11835	NC_003552.1	2803627	2804778	+	1152	1970	1609	1452	1039	1260	1260
MA_RS24585	NC_003552.1	2804942	2805430	-	489	136	191	116	104	179	171
MA_RS29410	NC_003552.1	2805427	2805549	-	123	22	4	6	3	5	4
MA_RS24590	NC_003552.1	2806534	2809467	+	2934	11401	11658	8170	7104	8775	9645
MA_RS11850	NC_003552.1	2809614	2809868	-	255	882	973	668	613	991	930
MA_RS11855	NC_003552.1	2809963	2810268	-	306	87	119	42	57	57	49
MA_RS11860	NC_003552.1	2810596	2811888	+	1293	6339	5241	5388	3452	5235	5447
MA_RS11865	NC_003552.1	2812020	2813321	-	1302	3541	2733	2755	1832	3011	3426
MA_RS29645	NC_003552.1	2814001	2814234	+	234	108	101	85	84	91	63
MA_RS11870	NC_003552.1	2814348	2814527	-	180	152	75	145	58	127	97
MA_RS11875	NC_003552.1	2814809	2815051	-	243	171	95	102	72	57	45
MA_RS11880	NC_003552.1	2815581	2815880	+	300	3510	2787	2891	1798	1699	2812
MA_RS11885	NC_003552.1	2815962	2816246	-	285	596	423	433	276	451	544
MA_RS29415	NC_003552.1	2817182	2817310	+	129	642	375	361	293	286	120
MA_RS11895	NC_003552.1	2817905	2819107	+	1203	1235	897	628	680	751	786
MA_RS11905	NC_003552.1	2819852	2821048	+	1197	5799	4279	3988	3184	5058	5522
MA_RS11910	NC_003552.1	2821699	2821926	+	228	363	402	339	350	1659	962
MA_RS11915	NC_003552.1	2822353	2824119	+	1767	2723	2200	1737	1015	1637	2031
MA_RS11920	NC_003552.1	2824137	2824703	-	567	2033	2045	1369	1563	2699	2969
MA_RS11925	NC_003552.1	2824983	2825150	+	168	65	46	35	9	31	26
MA_RS11930	NC_003552.1	2825407	2825925	+	519	885	563	523	354	538	457
MA_RS11935	NC_003552.1	2826238	2826564	+	327	3293	1893	1580	780	2681	2685
MA_RS11940	NC_003552.1	2826586	2827098	+	513	7365	5378	5402	3539	15500	13107
MA_RS11945	NC_003552.1	2827266	2831120	-	3855	8538	6599	5854	4462	4596	4949
MA_RS11950	NC_003552.1	2831346	2833241	+	1896	1131	1256	777	697	597	604
MA_RS28610	NC_003552.1	2833234	2834049	+	816	948	810	655	664	472	427
MA_RS26960	NC_003552.1	2834320	2834481	+	162	215	240	236	289	104	151
MA_RS11960	NC_003552.1	2834590	2835612	+	1023	905	895	625	573	335	389
MA_RS11965	NC_003552.1	2835723	2836835	-	1113	5673	4541	3888	2992	2660	3915
MA_RS11975	NC_003552.1	2837320	2837565	+	246	60	55	54	29	52	42
MA_RS11985	NC_003552.1	2838074	2840650	+	2577	14589	10291	8772	6085	10634	12815
MA_RS26965	NC_003552.1	2840917	2841069	+	153	214	221	109	96	127	153
MA_RS11990	NC_003552.1	2841099	2841638	-	540	593	538	341	333	182	221
MA_RS11995	NC_003552.1	2841679	2843070	-	1392	1546	1736	787	1122	987	1179
MA_RS12000	NC_003552.1	2843256	2844917	+	1662	9188	7109	6989	6117	8131	8551
MA_RS12005	NC_003552.1	2845063	2845254	+	192	1067	944	920	708	1381	1544
MA_RS29800	NC_003552.1	2845377	2845460	+	84	903	815	677	574	1514	1624
MA_RS12010	NC_003552.1	2845550	2846131	-	582	1131	783	570	501	473	368
MA_RS12015	NC_003552.1	2846163	2846345	-	183	49	107	25	25	17	29
MA_RS26975	NC_003552.1	2846894	2847184	-	291	1157	928	705	757	736	1063
MA_RS12020	NC_003552.1	2848117	2849664	-	1548	1974	1914	2016	2137	1407	2039
MA_RS12025	NC_003552.1	2849680	2850138	-	459	475	467	317	263	135	245
MA_RS26980	NC_003552.1	2850260	2850397	+	138	503	402	396	272	95	210
MA_RS29420	NC_003552.1	2851356	2851478	-	123	35	18	46	30	37	39
MA_RS25505	NC_003552.1	2851515	2851691	-	177	114	103	102	100	142	148
MA_RS25510	NC_003552.1	2851970	2852116	-	147	200	158	169	96	159	222
MA_RS12035	NC_003552.1	2852717	2853898	-	1182	6276	5505	4376	3542	3803	5175
MA_RS12040	NC_003552.1	2854167	2855540	-	1374	10857	8282	5973	4111	7672	8362
MA_RS12045	NC_003552.1	2855788	2856351	+	564	2342	2102	1856	1720	1937	1237
MA_RS28615	NC_003552.1	2856519	2856695	+	177	6968	5203	7778	7415	2667	1897
MA_RS12050	NC_003552.1	2857149	2857577	-	429	1332	1115	772	631	488	406
MA_RS12055	NC_003552.1	2858398	2859336	+	939	2202	1621	1220	868	1377	1271
MA_RS12060	NC_003552.1	2860192	2860614	+	423	1860	1496	1006	1173	826	619
MA_RS12065	NC_003552.1	2860946	2863105	+	2160	6366	4950	6054	5134	2970	3921
MA_RS12070	NC_003552.1	2863737	2864087	+	351	631	489	501	427	324	288
MA_RS12075	NC_003552.1	2864665	2865918	+	1254	1267	947	1064	1122	521	515
MA_RS24595	NC_003552.1	2866121	2867065	+	945	562	435	266	218	281	301
MA_RS12085	NC_003552.1	2867342	2868058	+	717	457	364	335	232	253	217
MA_RS26990	NC_003552.1	2868046	2868312	-	267	94	80	112	77	81	83
MA_RS12090	NC_003552.1	2868824	2869219	+	396	600	463	358	286	303	295
MA_RS12095	NC_003552.1	2869512	2870009	-	498	4559	3727	3124	2810	2846	3296
MA_RS12100	NC_003552.1	2870235	2871047	-	813	6108	5133	3446	2913	3465	3497
MA_RS12110	NC_003552.1	2872703	2875003	+	2301	2480	2064	1891	1578	1237	1618
MA_RS12115	NC_003552.1	2875248	2877587	+	2340	1018	906	553	421	538	678
MA_RS26995	NC_003552.1	2878365	2878715	+	351	360	409	321	200	295	298
MA_RS12125	NC_003552.1	2878773	2879501	-	729	2618	2306	3023	1922	3776	3520
MA_RS12130	NC_003552.1	2879753	2880343	+	591	701	678	474	493	322	363
MA_RS12135	NC_003552.1	2880399	2880905	-	507	1428	1333	1038	1102	433	567
MA_RS12140	NC_003552.1	2881143	2881679	-	537	701	684	426	524	454	429
MA_RS12145	NC_003552.1	2882418	2882933	+	516	525	412	307	293	288	260
MA_RS27000	NC_003552.1	2884333	2884509	-	177	18613	15026	32090	36847	13428	21365
MA_RS12150	NC_003552.1	2884612	2885592	-	981	1438	983	717	589	914	781
MA_RS12155	NC_003552.1	2886316	2887479	+	1164	3245	2149	1669	1398	1860	1815
MA_RS12160	NC_003552.1	2887929	2888933	-	1005	11524	10708	9682	7854	5501	6207
MA_RS12165	NC_003552.1	2889363	2890310	+	948	2974	2046	1800	1017	2306	1939
MA_RS12170	NC_003552.1	2890873	2893050	-	2178	17305	15838	12284	8249	9340	12345
MA_RS12175	NC_003552.1	2893206	2894222	-	1017	12296	10809	7678	5550	6304	7719
MA_RS12180	NC_003552.1	2895198	2897783	+	2586	23843	19313	14053	9863	21651	18580
MA_RS12185	NC_003552.1	2897863	2899467	-	1605	18318	15097	13474	9781	4863	10626
MA_RS28620	NC_003552.1	2900123	2900545	-	423	1090	1079	881	655	1092	1028
MA_RS28625	NC_003552.1	2900555	2900668	-	114	593	455	360	184	272	337
MA_RS12195	NC_003552.1	2901238	2901909	+	672	1548	1545	1284	1611	907	1001
MA_RS12200	NC_003552.1	2902430	2903443	-	1014	1811	1755	1074	1124	2297	1583
MA_RS27010	NC_003552.1	2903635	2903817	-	183	62	67	73	70	78	48
MA_RS12205	NC_003552.1	2904898	2905242	-	345	1889	1736	837	469	976	887
MA_RS12210	NC_003552.1	2906551	2906877	-	327	5330	4344	2120	1622	2187	1631
MA_RS12225	NC_003552.1	2908647	2910485	+	1839	3563	3952	2110	1640	2247	2058
MA_RS29425	NC_003552.1	2910491	2911954	+	1464	1853	1290	930	781	837	968
MA_RS12235	NC_003552.1	2912153	2912896	+	744	374	374	249	197	207	278
MA_RS12240	NC_003552.1	2912899	2913531	+	633	331	343	221	160	233	353
MA_RS12245	NC_003552.1	2913777	2917652	-	3876	16047	12887	10247	7979	13260	12710
MA_RS12250	NC_003552.1	2917642	2918955	-	1314	10231	6173	4818	3291	4393	5192
MA_RS12255	NC_003552.1	2919153	2921201	-	2049	8669	7993	7502	5999	6859	8344
MA_RS12260	NC_003552.1	2921277	2923976	-	2700	6287	6015	4192	3712	5590	5281
MA_RS27015	NC_003552.1	2924265	2924411	-	147	45	29	7	10	18	17
MA_RS12265	NC_003552.1	2924500	2925885	-	1386	519	470	361	294	358	383
MA_RS12270	NC_003552.1	2926166	2926411	+	246	2896	2297	3465	2756	1530	1578
MA_RS25535	NC_003552.1	2926380	2926607	+	228	595	648	646	528	778	776
MA_RS28630	NC_003552.1	2926745	2926933	-	189	353	247	105	79	92	117
MA_RS12280	NC_003552.1	2927245	2928777	-	1533	5051	3575	2867	2511	1753	2459
MA_RS12285	NC_003552.1	2928809	2928934	-	126	511	402	268	274	143	210
MA_RS12290	NC_003552.1	2929235	2930611	-	1377	3182	2696	2099	1722	1952	2737
MA_RS12295	NC_003552.1	2930803	2931831	-	1029	1629	1250	770	778	856	950
MA_RS12300	NC_003552.1	2931898	2935383	-	3486	12100	10911	8209	6165	5535	7572
MA_RS12305	NC_003552.1	2935402	2938998	-	3597	9054	7750	5055	5007	5185	5340
MA_RS12310	NC_003552.1	2939132	2939704	-	573	1756	1673	1081	1244	2847	2836
MA_RS12315	NC_003552.1	2940373	2940457	-	85	50	58	26	26	19	21
MA_RS12320	NC_003552.1	2940555	2941310	+	756	11539	9831	10581	7247	6691	6767
MA_RS12325	NC_003552.1	2941685	2941993	+	309	2060	1423	1228	927	1599	1489
MA_RS12335	NC_003552.1	2942310	2943596	-	1287	262	246	186	196	286	225
MA_RS12340	NC_003552.1	2943739	2943939	+	201	13	16	9	17	18	7
MA_RS12345	NC_003552.1	2944122	2944466	+	345	757	531	652	490	334	331
MA_RS12350	NC_003552.1	2944659	2946044	-	1386	954	719	731	706	730	667
MA_RS12355	NC_003552.1	2946057	2947064	-	1008	823	717	712	648	600	763
MA_RS12360	NC_003552.1	2947076	2949460	-	2385	833	760	690	515	354	333
MA_RS12365	NC_003552.1	2950991	2953906	+	2916	4327	3288	2896	2487	983	1849
MA_RS28640	NC_003552.1	2954118	2954303	+	186	96	85	90	53	29	37
MA_RS28645	NC_003552.1	2954363	2954584	+	222	564	407	451	293	99	109
MA_RS12375	NC_003552.1	2955023	2955541	+	519	2757	2918	1790	1073	1346	2303
MA_RS12380	NC_003552.1	2955775	2956182	-	408	13334	11158	9659	6925	5848	9724
MA_RS12385	NC_003552.1	2956800	2956872	-	73	543	412	488	397	470	428
MA_RS12390	NC_003552.1	2957110	2957511	-	402	24277	25916	26925	25881	54376	44041
MA_RS12395	NC_003552.1	2957546	2957878	-	333	41839	36465	38409	31074	50848	52103
MA_RS27025	NC_003552.1	2958338	2958514	+	177	144	135	81	56	75	92
MA_RS12400	NC_003552.1	2958578	2959042	+	465	3310	2894	2892	2665	3466	3423
MA_RS12405	NC_003552.1	2961448	2962959	+	1512	18855	16387	14495	11135	13797	12786
MA_RS12410	NC_003552.1	2963638	2964924	-	1287	271	254	232	179	304	296
MA_RS25545	NC_003552.1	2965388	2965558	+	171	230	178	80	66	131	109
MA_RS12415	NC_003552.1	2965720	2965992	+	273	766	705	259	213	426	386
MA_RS12420	NC_003552.1	2966285	2966692	+	408	921	824	420	359	489	454
MA_RS12425	NC_003552.1	2966867	2967061	+	195	161	85	40	39	39	54
MA_RS12430	NC_003552.1	2967083	2967262	+	180	240	217	132	71	130	158
MA_RS24605	NC_003552.1	2967941	2969869	+	1929	2816	2378	1812	1498	3044	2931
MA_RS28650	NC_003552.1	2970820	2970963	-	144	6	6	1	4	7	5
MA_RS12445	NC_003552.1	2970898	2971140	+	243	180	113	82	71	288	206
MA_RS25550	NC_003552.1	2971346	2971969	+	624	3203	2190	1954	1448	3096	2667
MA_RS12455	NC_003552.1	2972077	2972823	-	747	6302	4693	3695	2682	3926	3336
MA_RS12460	NC_003552.1	2973045	2973692	-	648	2920	1995	1959	1420	1155	1302
MA_RS12470	NC_003552.1	2974508	2975953	+	1446	5555	4041	3471	2687	1954	2135
MA_RS12475	NC_003552.1	2975931	2977709	+	1779	3075	2536	1511	1127	1952	1523
MA_RS12485	NC_003552.1	2978376	2979587	-	1212	680	619	485	387	570	577
MA_RS12490	NC_003552.1	2979708	2980598	-	891	1629	1188	1131	717	974	820
MA_RS12495	NC_003552.1	2981201	2981392	-	192	7346	7254	3988	3072	12388	13028
MA_RS12500	NC_003552.1	2982293	2982961	-	669	546	506	410	307	1079	820
MA_RS12505	NC_003552.1	2983079	2983888	-	810	2121	1374	1274	625	1533	1326
MA_RS12510	NC_003552.1	2984190	2985278	+	1089	17307	13949	11192	7926	12550	10206
MA_RS12515	NC_003552.1	2985514	2985786	+	273	87	63	60	29	25	36
MA_RS12520	NC_003552.1	2986018	2987220	+	1203	3439	2768	2090	1922	3389	3303
MA_RS12525	NC_003552.1	2987304	2988848	+	1545	12056	8547	8066	6073	6804	7578
MA_RS28655	NC_003552.1	2989558	2990130	+	573	3819	3193	2889	2437	707	959
MA_RS12530	NC_003552.1	2990012	2991094	+	1083	1440	1537	1509	1503	413	592
MA_RS12535	NC_003552.1	2991091	2992266	+	1176	274	251	192	148	95	139
